Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
22538,76565,1742293,34053,334055,0.655891235
417,4747,327152,1016,27125,0.535031069
831,7807,643579,2181,55186,0.545954841
423,4649,357859,1158,27504,0.572874588
1959,12472,960987,3704,76341,0.484285826
2606,12081,634975,4584,90836,0.575550018
2401,12343,787033,4546,123180,0.664155058
2498,7555,320156,3966,65742,0.700389125
5231,14521,565700,5946,104722,0.675911705
825,3247,176062,1033,19048,0.632980289
12787,35024,1188918,14641,214427,0.64120487
2622,13167,1038890,7608,134123,0.584169797
2950,17999,1449729,6279,166662,0.543468011
7370,28289,1303828,8591,256167,0.698647593
2637,15609,848660,3670,165031,0.726358046
1628,11836,771284,2686,172218,0.756244441
3199,13312,577896,4349,150044,0.781925836
15046,40589,1372301,15494,298570,0.76642865
3831,17922,1010147,5921,174831,0.706250356
1810,10600,641697,3533,98136,0.695759848
5564,15658,708493,9449,117477,0.682557439
1163,8278,502136,2270,88288,0.714966623
35701,75588,1199521,33514,324544,0.777171463
3416,16006,888134,4693,178144,0.76053228
9049,41059,1980232,9066,368877,0.626248395
635,5523,345387,656,34820,0.454360117
768,6609,436625,1278,37068,0.545328805
245,3430,253467,755,24261,0.615674061
708,4289,341561,1332,43134,0.652953294
3286,17274,904026,4629,125574,0.562317579
757,4221,344075,1346,38600,0.490484647
1953,12622,880160,3547,95057,0.508625637
1553,9166,577569,2090,56834,0.421252574
1324,8128,745206,2030,56803,0.385257825
3988,17294,818578,6922,87649,0.411764749
448,3908,381913,820,26853,0.399069133
1667,7609,399581,3402,50432,0.603752825
2737,18983,1441436,8096,118767,0.503389147
567,5755,488965,2442,35940,0.581698993
3342,13857,841958,5979,96724,0.636980717
4544,18004,729708,8677,90312,0.620532222
1706,10833,975114,3976,109908,0.629517561
8566,30892,1625484,13137,177334,0.599392783
682,2962,515971,1496,42291,0.503530587
2111,11790,898915,4613,102053,0.65601285
16141,51289,1919832,28840,315664,0.688835577
20261,59523,2454299,30572,340237,0.647104289
961,5614,582544,3546,65540,0.617729876
1016,4804,461125,3069,55660,0.683728421
579,4084,437598,1932,36065,0.608915789
1782,9042,864272,4227,58619,0.460560049
86,589,91338,196,4069,0.404956372
955,3879,334987,1827,21606,0.358364659
117,1462,167348,305,5033,0.340551659
273,5393,449974,1634,57366,0.476876869
1781,20172,1254302,5829,195957,0.600052391
1166,14368,1040736,4463,177168,0.642932346
15779,46454,1218319,21313,253163,0.667906474
616,5251,473097,2897,89056,0.624648874
1852,15304,1106084,5417,148509,0.52191188
1090,10899,898323,4139,140118,0.517546081
1880,15567,1112636,6206,180063,0.535092134
653,8501,635347,2219,82991,0.543579074
4546,24811,1470688,11291,213013,0.649882823
1432,10504,768929,3031,104780,0.591444204
3754,22751,1365647,9401,212078,0.615442353
3406,31194,1460075,11833,237937,0.609595088
839,6360,403030,1873,39260,0.553187397
1945,8342,476995,4498,105328,0.615971828
2324,12507,781000,5435,166980,0.622638131
3644,14905,876905,5757,146318,0.567588204
7501,27733,1156749,12167,248508,0.624597355
1382,10797,901161,4200,160720,0.591408235
3518,16523,943954,9017,168269,0.591775995
2388,18626,1377326,8080,183741,0.492881988
48691,111478,1877270,64865,479762,0.704712703
2162,14189,1166866,4992,146889,0.526540192
1158,8516,923665,3102,70169,0.396806075
1611,12718,935230,4185,150010,0.520272814
1926,12888,919239,5682,150643,0.591495502
40788,94729,1405814,60383,353909,0.700399526
1566,11166,817608,6041,141356,0.595091098
1141,9931,832939,6017,133315,0.615967143
2109,13755,938819,5740,121106,0.59654162
986,5376,347774,3556,63615,0.61800461
2871,14456,730768,7335,138517,0.653034197
2179,13094,778414,3958,100862,0.61203351
20443,58601,1387369,26487,274726,0.713058029
1603,9751,620415,4664,90668,0.658316039
554,6447,419531,1291,25956,0.537545918
912,9042,614794,2246,51683,0.573475337
3588,20034,1232263,8235,150476,0.618960439
1182,10417,809922,4048,84804,0.626622127
1712,13306,969773,4045,100910,0.674398748
2482,11740,793150,5968,120895,0.526757947
619,6016,535410,2373,81251,0.555111937
1733,10817,645619,3819,72253,0.566752622
1290,7266,444954,2895,57032,0.582719487
837,10790,721531,3320,82709,0.533067798
2627,13939,771725,6599,81892,0.496535183
744,5591,684200,2215,60130,0.343477574
297,5126,488848,1174,33439,0.28772879
1907,10404,809091,3697,100376,0.558458728
986,5058,469838,2142,55999,0.539263202
9631,31961,1278604,28788,339331,0.598516707
3424,23149,1984701,22723,369986,0.546361071
2231,12870,786357,7802,176829,0.623570588
7759,33731,1119451,25163,301436,0.73837727
5262,25425,1393131,22379,269423,0.650062238
12107,33662,769329,26385,204833,0.740428797
